0,1931615
1,139699287
2,574295432
3,968855987
4,1316607352
5,1516866145
6,1473284403
7,1319370189
8,1047077894
9,794226724
10,556542989
11,385747417
12,260379585
13,182146228
14,129817786
15,98792007
16,78368051
17,64994047
18,55142087
19,48926769
20,44082536
21,40555652
22,37452134
23,34989118
24,32567463
25,30648538
26,28713900
27,27147974
28,25579866
29,24280739
30,22884428
31,21853371
32,20676450
33,19787692
34,18781191
35,18019895
36,17086248
37,16444423
38,15609320
39,15006318
40,14214964
41,13671816
42,12998922
43,12508628
44,11861829
45,11424978
46,10827131
47,10397666
48,9877251
49,9508481
50,9028813
51,8681047
52,8242146
53,7910083
54,7510677
55,7202822
56,6827537
57,6535475
58,6204615
59,5941449
60,5628651
61,5388903
62,5109425
63,4891900
64,4631751
65,4424879
66,4191819
67,3999797
68,3782924
69,3603094
70,3407301
71,3249910
72,3064123
73,2914585
74,2744274
75,2604952
76,2446449
77,2312694
78,2168482
79,2046531
80,1915844
81,1795369
82,1671169
83,1560697
84,1452709
85,1354323
86,1244217
87,1159912
88,1059793
89,983378
90,902852
91,822332
92,749545
93,676331
94,606103
95,545387
96,494694
97,429049
98,366617
99,322372
100,287909
101,255471
