0,1269016
1,95315466
2,904958924
3,1686878167
4,2328394998
5,2754558852
6,2637663208
7,2416145155
8,1934244632
9,1519500689
10,1104432355
11,808638551
12,578402873
13,429634708
14,327945897
15,265637696
16,221903452
17,193512925
18,172024347
19,155649057
20,142144786
21,131105601
22,120869425
23,112238187
24,104370441
25,97565853
26,91230654
27,85566767
28,80140154
29,75168158
30,70865229
31,66682244
32,62908906
33,59650014
34,56363842
35,53633315
36,50827753
37,48574735
38,46055930
39,44156172
40,41841989
41,40269558
42,38256330
43,37021901
44,35049906
45,33895960
46,32156264
47,31144176
48,29572114
49,28731510
50,27225656
51,26461059
52,25136902
53,24455885
54,23203012
55,22572832
56,21319215
57,20866677
58,19704293
59,19295140
60,18219427
61,17829799
62,16865616
63,16464312
64,15561087
65,15262354
66,14430216
67,14102332
68,13343871
69,13072325
70,12306643
71,12105705
72,11429183
73,11243798
74,10601184
75,10415070
76,9812298
77,9633530
78,9080919
79,8907521
80,8367731
81,8161708
82,7667852
83,7445761
84,6960952
85,6704137
86,6256799
87,5981663
88,5535997
89,5253449
90,4819663
91,4524162
92,4119491
93,3811361
94,3434714
95,3128171
96,2786431
97,2500620
98,2204054
99,1947741
100,1676058
101,1460203
102,1245587
103,1055814
104,883005
105,735128
106,596072
107,483154
108,387176
109,307613
110,235869
111,177868
112,132105
113,93818
114,65091
115,40393
116,24553
117,14841
118,7633
119,4092
120,1738
121,413
