0,2011908
1,141917043
2,380068380
3,581807111
4,725229518
5,791359723
6,749124701
7,657352176
8,520396447
9,396533770
10,283873144
11,202438711
12,141559550
13,101034386
14,73155691
15,56585473
16,45997180
17,39399949
18,34382806
19,31066533
20,28071065
21,25796258
22,23709290
23,22128468
24,20643994
25,19321343
26,18052800
27,16972400
28,15921091
29,15033306
30,14154807
31,13404864
32,12677745
33,12010918
34,11357878
35,10768228
36,10213698
37,9695766
38,9205540
39,8749430
40,8314101
41,7895711
42,7514990
43,7150155
44,6803059
45,6487597
46,6180782
47,5871347
48,5587519
49,5342489
50,5112448
51,4907012
